Lemma;s.Genitiv;es.Genitiv
Leben;3761;0
Blog;2570;0
Internet;1847;0
Artikel;1757;0
Erachten;1666;0
Monat;1562;6
Spiel;1479;192
Wissen;1463;0
Unternehmen;1260;0
Film;1241;265
Projekt;1215;725
System;1030;0
Autor;921;0
Urheberrecht;840;74
Thema;798;0
Vater;784;0
Problem;765;15
Beitrag;757;281
Video;665;0
Programm;594;71
Abend;587;0
Körper;568;0
Vertrauen;562;0
Verein;544;45
Studium;531;0
Glauben;440;0
Alltag;407;22
Roman;407;10
Licht;406;128
Namen;398;0
Begriff;376;171
Individuum;362;0
Universum;360;0
Album;351;0
Nutzer;350;0
Browser;349;0
Lernen;345;0
Kommentar;341;56
Recht;335;26
Zeichen;329;0
Publikum;328;0
Institut;326;29
Bundesverfassungsgericht;325;80
Westen;317;0
Künstler;315;0
Herzen;309;0
Vortrag;307;135
Schreiben;304;0
Sein;301;0
Kapital;300;0
Frieden;293;0
Team;290;0
Verfahren;278;0
Klimawandel;277;0
Auto;267;0
Urheber;267;0
Titel;260;0
Alter;257;0
Konzern;257;2
Anbieter;252;0
Magazin;246;4
Aufstieg;244;0
Computer;244;0
Betriebssystem;243;0
Medium;243;0
Gerät;242;366
Gehirn;239;4
Denken;236;0
Hersteller;228;0
Interview;228;0
Angebot;226;92
Bewusstsein;226;0
Gespräch;223;79
König;218;1
Weblog;217;0
Wettbewerb;217;21
Gericht;214;32
Handeln;213;0
Unterricht;213;5
Inhalt;211;58
Workshop;211;0
Himmel;208;0
Forum;206;0
Sternbild;202;6
Foto;198;0
Bürger;197;0
Server;197;0
Ministerium;196;0
Wasser;196;0
Geschlecht;189;38
Betrachter;188;0
Parlament;187;49
Christentum;184;0
Geschehen;184;0
Bericht;183;75
Bildschirm;183;11
Urteil;182;2
Netzwerk;181;104
Museum;178;0
Umgang;177;5
Seminar;175;6
Bruder;174;0
User;174;0
Islam;173;0
Plugin;173;0
Song;172;0
Bundesministerium;171;0
Lehrer;168;0
Sommer;166;0
Web;166;0
Bundestag;164;367
Handy;164;0
Leser;160;0
Original;155;1
Bahnhof;153;16
Gegner;153;0
Mittelalter;153;0
Charakter;152;0
Verdacht;151;9
Rechner;150;0
Telefon;150;0
Vergessen;150;0
Semester;149;0
Portal;147;3
Schweigen;142;0
Senat;142;23
Tool;141;0
Zusammenleben;141;0
Konzept;140;92
Kloster;139;0
Sender;138;0
Vorstand;137;86
Arbeitgeber;136;0
Augarten;136;0
Gegenüber;136;0
Produkt;136;189
Spieler;135;0
Hotel;134;0
Verhalten;134;0
Werk;133;348
Vorhaben;132;0
Antrag;131;43
Benutzer;129;0
Opfer;129;0
Teufel;129;0
Eigentum;128;0
Treffen;128;0
Zeug;128;0
Flughafen;127;0
Eisberg;126;64
Vertrag;126;189
Verlag;125;124
Lesen;123;0
Scheitern;122;0
Terror;122;0
Widerstand;122;106
Modell;121;0
Blogger;120;0
Konflikt;119;56
Material;119;0
Glück;118;53
Wagen;118;0
Jahrhundert;117;0
Wachstum;117;0
Bloggen;116;0
Menschenhandel;116;0
Schriftsteller;116;0
Sonnensystem;116;0
Urlaub;116;19
Abkommen;113;0
Einkommen;113;0
Mädchen;113;0
Politiker;113;0
Chef;112;0
Schicksal;112;0
Test;112;5
Engagement;111;0
Entwickler;111;0
Willen;110;0
Konsum;109;0
Account;108;0
Grundeinkommen;108;0
Partner;108;0
Grauen;107;0
Protest;107;110
Patriarchat;106;0
Garten;105;0
Leistungsschutzrecht;105;36
Schöpfer;105;0
Event;104;0
Vorgänger;104;0
Zentrum;103;0
