ID|Genre|Kategorie|Autor|Titel|Type_token_ratio|Dispersion|Disparity|Evenness|Density|Rarity|Average_token_length_syllables|MTLD|Honore_H
k00400000135|Hochliteratur|Hochliteratur|Maier, Andreas|Das Zimmer|0.2697866666666667|0.8099085146222377|0.6514889001846313|0.9320795290662656|0.36109218224968864|0.4306450470863131|1.6480250017623423|142.88464847488083|2519.9282774196345
k00400000023|Hochliteratur|Hochliteratur|Glattauer, Daniel|Gut gegen Nordwind|0.25826666666666664|0.8002236268661748|0.6448250412940979|0.9275645597303022|0.3734867098503462|0.5194717693033284|1.6526915345097164|129.9702341037923|2427.803609201604
k00400000103|Hochliteratur|Hochliteratur|Mahlke, Inger-Maria|Wie Ihr wollt|0.3351333333333333|0.8179857869893922|0.6996344923973083|0.9381917475301469|0.44121662039664394|0.3644899867529027|1.673006426676074|219.1652498057185|2630.908456764641
k00400000115|Hochliteratur|Hochliteratur|Stamm, Peter|An einem Tag wie diesem|0.2672222222222222|0.8046483135524463|0.6825083494186401|0.9200974624211837|0.398695040300226|0.4740297807480361|1.652437204145166|141.07826746823594|2447.7232413960824
k00400000005|Hochliteratur|Hochliteratur|Friedrich, Franz|Die Meisen von Uusimaa singen nicht mehr|0.36878333333333335|0.8442133997746285|0.698786735534668|0.926335010605818|0.4410148543103589|0.3057861038653071|1.811818226287727|189.66709796779472|3552.6252636004792
k00400000098|Hochliteratur|Hochliteratur|Stangl, Thomas|Was kommt|0.2923428571428571|0.8192171063682653|0.7240102291107178|0.9269856590807809|0.4197247288305533|0.3970521541950113|1.6439157779600766|124.82044577939257|2602.8857550569714
k00400000149|Hochliteratur|Hochliteratur|Aichinger, Ilse|Die größere Hoffnung|0.2757333333333333|0.8036766841536352|0.6434299349784851|0.9255955727629055|0.4266206628438138|0.3600111991040717|1.567434476949493|129.19168143214225|2241.3230545767356
k00400000074|Hochliteratur|Hochliteratur|Stamm, Peter|Sieben Jahre|0.2693333333333333|0.8081179292738209|0.6521850824356079|0.9192515940327826|0.3762083661256552|0.4882795605916444|1.6140653074558602|142.5682052073559|2624.860017174296
k00400000038|Hochliteratur|Hochliteratur|Bärfuss, Lukas|Hundert Tage|0.33803809523809525|0.8333206323370608|0.6679109930992126|0.9282571947421411|0.4043180095113378|0.3745019920318725|1.7381452891308842|174.55819878817877|3164.592043207889
k00400000061|Hochliteratur|Hochliteratur|Schulze, Ingo|Neue Leben|0.33864197530864193|0.8264055570997355|0.6882022619247437|0.9354955547679957|0.40447226487146176|0.3735204033865208|1.7079691744419512|216.8571214921215|2944.9562360207506
k00400000151|Hochliteratur|Hochliteratur|Plenzdorf, Ulrich|Die neuen Leiden des jungen W.|0.24817777777777775|0.7935363610647671|0.5894385576248169|0.927250204738369|0.33830495928941523|0.4750239005736138|1.5441154700222057|147.34379354341183|2313.74727885434
k00400000041|Hochliteratur|Hochliteratur|Ruge, Eugen|In Zeiten des abnehmenden Lichts|0.3253025641025641|0.8304837010320951|0.6891131997108461|0.9324052517338046|0.4303646263649848|0.3727172832400189|1.7337819408913089|155.10653360460847|2839.4726766962326
k00400000073|Hochliteratur|Hochliteratur|Poschmann, Marion|Schwarzweißroman|0.3743111111111111|0.8428215733354819|0.6879342794418335|0.9342818111223198|0.4564609671631827|0.30044289781714645|1.7689879139372193|196.75922099078318|3407.6520335428518
k00400000050|Hochliteratur|Hochliteratur|Schädlich, Hans Joachim|Kokoschkins Reise|0.3190666666666667|0.8272161101137253|0.6432631015777588|0.9336668279450074|0.4581135778241138|0.4302153542659872|1.7714644915981848|168.94632562764642|2615.6942750323556
k00400000138|Hochliteratur|Hochliteratur|Mora, Terézia|Der einzige Mann auf dem Kontinent|0.3265230769230769|0.8234764152757427|0.6977114677429199|0.9397646526574613|0.3820717692756657|0.418188141192836|1.6286654456900196|192.21684549690312|2834.1520218462747
k00400000083|Hochliteratur|Hochliteratur|Gruber, Sabine|Über Nacht|0.3251|0.8226822950868765|0.6500912308692932|0.9327483565735709|0.4183942219134256|0.375954279865228|1.720709657612823|210.8065004941879|2936.992048551786
k00400000065|Hochliteratur|Hochliteratur|Leutenegger, Gertrud|Panischer Frühling|0.36224|0.8313437440823583|0.6654651761054993|0.9384986926353351|0.4306065288777284|0.2720047449584816|1.7788052926405253|255.1465130596584|3180.5881377319515
k00400000039|Hochliteratur|Hochliteratur|Flašar, Milena Michiko|Ich nannte ihn Krawatte|0.3201333333333333|0.8179397612479287|0.5872904658317566|0.9308495690551262|0.3666795263673324|0.3902763902763903|1.5895480309819865|183.7283698978861|2767.150390289375
k00400000027|Hochliteratur|Hochliteratur|Thome, Stephan|Fliehkräfte|0.3468705882352941|0.8219271234276513|0.70160675048828125|0.9406848529246522|0.4129815608728546|0.4381208892011632|1.6620507038910564|276.24855963050027|2928.6269071320285
k00400000092|Hochliteratur|Hochliteratur|Wagner, David|Vier Äpfel|0.3308333333333333|0.8277775632903611|0.6556168794631958|0.934925736714158|0.3794145167758321|0.33881338594183835|1.7570645635610214|186.46240603692416|3157.844325743826
k00400000106|Hochliteratur|Hochliteratur|Peters, Christoph|Wir in Kahlenbeck|0.3453866666666667|0.8275048423557805|0.7072044014930725|0.9415411090406883|0.4044210396323445|0.3983692213969399|1.64915716213713|248.3793096580351|3039.743192774112
k00400000060|Hochliteratur|Hochliteratur|Streeruwitz, Marlene|Nachkommen.|0.2630871794871795|0.8110705875055816|0.6061866879463196|0.9143588716090075|0.3630686191408724|0.4374397094705782|1.6338526291175868|111.03846538467843|2453.7223373792895
k00400000119|Hochliteratur|Hochliteratur|Müller, Herta|Atemschaukel|0.3064148148148148|0.8277643079908501|0.6850894093513489|0.9264503583556523|0.40759872121248|0.33216823506817744|1.6099846071872594|137.8944096931582|2652.2851817896635
k00400000051|Hochliteratur|Hochliteratur|Seiler, Lutz|Kruso|0.34492549019607843|0.8274534670267447|0.718382716178894|0.9378770619844768|0.4420438720002462|0.3599818391630881|1.711208057305973|230.01414566501998|2929.917558057729
k00400000008|Hochliteratur|Hochliteratur|Gstrein, Norbert|Die Winter im Süden|0.28644000000000003|0.8166411707097379|0.6890171766281128|0.9210953718895137|0.34879660971774296|0.40242879399193066|1.650630347290706|157.63766440560946|3109.776062747548
k00400000139|Hochliteratur|Hochliteratur|Schalansky, Judith|Der Hals der Giraffe|0.38706666666666667|0.8395971914340183|0.6182605028152466|0.937949937263099|0.42484589853010907|0.331164681963404|1.798624940730204|295.8144690725625|3584.4690621650893
k00400000148|Hochliteratur|Hochliteratur|Kant, Hermann|Die Aula|0.303|0.8264835580852057|0.6732628345489502|0.9305307056207575|0.3714592572568331|0.40546025926410895|1.643343001804619|143.57195022650362|2810.291177439583
k00400000159|Hochliteratur|Hochliteratur|Apitz, Bruno|Nackt unter Wölfen|0.3188705882352941|0.8227157209588681|0.6696014404296875|0.9326188958108476|0.4436540363195941|0.3152903076567199|1.7060243919265943|188.4813796578081|2709.7107463206676
k00400000141|Hochliteratur|Hochliteratur|Mosebach, Martin|Der Mond und das Mädchen|0.3373111111111111|0.8300625767158791|0.661277711391449|0.9354079341862506|0.4063617541878412|0.3673716012084592|1.7329401677227765|206.98643514178315|3278.8270322100793
k00400000107|Hochliteratur|Hochliteratur|Schäfer, Andreas|Wir vier|0.3374933333333333|0.8257937079327248|0.6716663241386414|0.93277887397216|0.4317611446016921|0.3495475839055381|1.7081317430338154|218.46709831282715|3200.178130592943
k00400000066|Hochliteratur|Hochliteratur|Schulz, Frank|Onno Viets und der Irre vom Kiez|0.4198787878787879|0.8484687489797426|0.6879892349243164|0.9463889438217327|0.4567035213230512|0.2659614990184301|1.8206745174552297|290.5847521533774|3725.1758670654294
k00400000154|Hochliteratur|Hochliteratur|Mann, Thomas|Doktor Faustus. Das Leben des deutschen Tonsetzers Adrian Leverkühn, erzählt von einem Freunde|0.3804444444444444|0.8425727816576329|0.6971707940101624|0.937485733037364|0.4145755027135245|0.3098586220378101|1.833091258820181|223.19172204141668|3647.191771988616
k00400000080|Hochliteratur|Hochliteratur|Modick, Klaus|Sunset|0.3559733333333333|0.8353945286093845|0.6825437545776367|0.9371489315154048|0.4376973585283946|0.3639283190956388|1.717658262743722|210.36552214732214|3073.6993217487634
k00400000110|Hochliteratur|Hochliteratur|Melle, Thomas|3000 Euro|0.31984444444444443|0.8274419783925155|0.6553742289543152|0.9294288892935326|0.3873479726193716|0.4107384127357105|1.6126729605827803|161.28907783401553|3048.6295029687153
k00400000033|Hochliteratur|Hochliteratur|Knecht, Doris|Gruber geht|0.3002833333333333|0.8251733190018924|0.6654138565063477|0.9284711235040205|0.3766771681246102|0.4111442221276193|1.6437447026274967|121.4203643697665|2820.7060956512355
k00400000104|Hochliteratur|Hochliteratur|Bonné, Mirko|Wie wir verschwinden|0.3057939393939394|0.8184838531537868|0.7142622470855713|0.9305145141852169|0.3935318868080192|0.4153340561051633|1.6298631654625384|171.2748177214664|2734.6443102317503
k00400000006|Hochliteratur|Hochliteratur|Franck, Julia|Die Mittagsfrau|0.29710833333333336|0.8161085480953868|0.7110168337821959|0.9288490423586772|0.4322269230140969|0.3947440982459117|1.6657001911171367|161.4990806497823|2609.5958145544055
k00400000025|Hochliteratur|Hochliteratur|Zähringer, Norbert|Einer von vielen|0.3415142857142857|0.8280534760854125|0.7018796801567078|0.9375646774220364|0.4190154146665069|0.3685858536822176|1.7047257516147163|212.67417115106272|2878.2971382310834
k00400000078|Hochliteratur|Hochliteratur|Martynova, Olga|Sogar Papageien überleben uns|0.3235666666666667|0.8238864530825217|0.6213152408599854|0.9439015219459983|0.3928802240413615|0.3796693202694427|1.6846186988367082|242.0015634936202|2751.066915600637
k00400000086|Hochliteratur|Hochliteratur|Leky, Mariana|Die Herrenausstatterin|0.24582222222222225|0.8037278067364916|0.6845445036888123|0.9225079682818732|0.3913812973328943|0.4398710494502331|1.6076103062232465|107.01018362699865|2266.3062075094613
k00400000079|Hochliteratur|Hochliteratur|Strubel, Antje Rávic|Sturz der Tage in die Nacht|0.3078666666666667|0.8259069628695157|0.6467791795730591|0.9275382654614028|0.38788390919712895|0.400879917184265|1.6471478050408948|157.27391691935185|2866.1487968499905
k00400000009|Hochliteratur|Hochliteratur|Bronsky, Alina|Die schärfsten Gerichte der tatarischen Küche|0.28296|0.8096840274703201|0.6630867123603821|0.9256237431735359|0.39705420678108|0.42936962750716334|1.637230535789033|162.41772173894168|2589.5594972833574
k00400000024|Hochliteratur|Hochliteratur|Overath, Angelika|Flughafenfische|0.3260333333333333|0.8322875219374972|0.5977275371551514|0.9252505458179843|0.40232902342986404|0.3349083619702176|1.7153229635007958|163.45414412583622|3017.4304832851676
k00400000048|Hochliteratur|Hochliteratur|Capus, Alex|Léon und Louise|0.3545037037037037|0.8338633128780587|0.6974947452545166|0.9328995589618172|0.4192088005077216|0.3399180297603663|1.721824977082011|190.26950213058467|3125.543237236647
k00400000077|Hochliteratur|Hochliteratur|Lustiger, Gila|So sind wir|0.34686666666666666|0.8384479325208725|0.6675626039505005|0.9329091799848833|0.4069714375639311|0.343483359618262|1.732473050594067|163.15260295290224|3225.4488821084733
k00400000030|Hochliteratur|Hochliteratur|Köhlmeier, Michael|Idylle mit ertrinkendem Hund|0.2603555555555556|0.8032241328091765|0.6111157536506653|0.9195519653064671|0.3417786650750201|0.4838979775859848|1.5922983514108713|121.34877886181198|2419.5284395710164
k00400000062|Hochliteratur|Hochliteratur|Ziegler, Ulf Erdmann|Nichts Weißes|0.3517833333333333|0.8346524557325187|0.6721528172492981|0.9338232650516741|0.42714173844949105|0.3762546722103229|1.6990602975724354|200.791555245145|3204.652356606609
k00400000114|Hochliteratur|Hochliteratur|Erpenbeck, Jenny|Aller Tage Abend|0.2893333333333333|0.8137811075254893|0.6847219467163086|0.9293963925365596|0.3787530303972152|0.4677107916756061|1.598651084726798|139.77290795234677|2525.2808774076343
k00400000035|Hochliteratur|Hochliteratur|Timm, Uwe|Halbschatten|0.3361142857142857|0.8315117818530869|0.6458536982536316|0.9327965787894397|0.4065013639225013|0.3692364103034192|1.6725886549625795|184.41837042981516|2944.1365296807753
k00400000067|Hochliteratur|Hochliteratur|Lentz, Michael|Pazifik Exil|0.308721568627451|0.8256641792534783|0.6982702612876892|0.9354250166128324|0.38785697879182296|0.4197894186122556|1.6435801240333818|156.57188187074982|2809.997170709698
k00400000161|Hochliteratur|Hochliteratur|Ortheil, Hanns-Josef|Schwerenöter|0.3357377777777778|0.828183777600425|0.7063454389572144|0.9347919675301462|0.4030995637168718|0.3633882288178357|1.7534674741160383|196.89009636913596|2982.785576686167
k00400000072|Hochliteratur|Hochliteratur|Kratochwil, Germán|Scherbengericht|0.3862909090909091|0.8401913568811217|0.698530912399292|0.9437692087214947|0.4341810876215698|0.29583369982701496|1.8139126067302862|289.5474835889311|3560.2710825729096
k00400000126|Hochliteratur|Hochliteratur|Loher, Dea|Bugatti taucht auf|0.3005904761904762|0.8236583065247858|0.7217728495597839|0.9245169774966131|0.3977635782747604|0.421614301191766|1.6969040012171002|139.05663589131152|2803.4500512614
k00400000003|Hochliteratur|Hochliteratur|Setz, Clemens J.|Die Frequenzen|0.3357587301587301|0.8280410231124423|0.6844525933265686|0.936222804495677|0.4026701758287925|0.3947688954420155|1.6958087753765554|205.0060415004649|3005.638186324704
k00400000144|Hochliteratur|Hochliteratur|Kluger, Martin|Der Vogel, der spazieren ging|0.3763733333333333|0.8363609411223121|0.7043888568878174|0.9437354111127598|0.4476962253973431|0.35490901885670884|1.7654452626165058|281.3942983755745|3322.886190054986
