ID;Genre;Kategorie;Autor;Titel;Type_token_ratio;Dispersion;Disparity;Evenness;Density;Rarity;Average_token_length_syllables;MTLD;Honore_H
k00400000135;Hochliteratur;Hochliteratur;Maier, Andreas;Das Zimmer;0,2697867;0,8099085;0,6514889;0,9320795;0,3610922;0,4306450;1,648025;142,8846;2519,928
k00400000023;Hochliteratur;Hochliteratur;Glattauer, Daniel;Gut gegen Nordwind;0,2582667;0,8002236;0,6448250;0,9275646;0,3734867;0,5194718;1,652692;129,9702;2427,804
k00400000103;Hochliteratur;Hochliteratur;Mahlke, Inger-Maria;Wie Ihr wollt;0,3351333;0,8179858;0,6996345;0,9381917;0,4412166;0,3644900;1,673006;219,1652;2630,908
k00400000115;Hochliteratur;Hochliteratur;Stamm, Peter;An einem Tag wie diesem;0,2672222;0,8046483;0,6825083;0,9200975;0,3986950;0,4740298;1,652437;141,0783;2447,723
k00400000005;Hochliteratur;Hochliteratur;Friedrich, Franz;Die Meisen von Uusimaa singen nicht mehr;0,3687833;0,8442134;0,6987867;0,9263350;0,4410149;0,3057861;1,811818;189,6671;3552,625
k00400000098;Hochliteratur;Hochliteratur;Stangl, Thomas;Was kommt;0,2923429;0,8192171;0,7240102;0,9269857;0,4197247;0,3970522;1,643916;124,8204;2602,886
k00400000149;Hochliteratur;Hochliteratur;Aichinger, Ilse;Die größere Hoffnung;0,2757333;0,8036767;0,6434299;0,9255956;0,4266207;0,3600112;1,567434;129,1917;2241,323
k00400000074;Hochliteratur;Hochliteratur;Stamm, Peter;Sieben Jahre;0,2693333;0,8081179;0,6521851;0,9192516;0,3762084;0,4882796;1,614065;142,5682;2624,860
k00400000038;Hochliteratur;Hochliteratur;Bärfuss, Lukas;Hundert Tage;0,3380381;0,8333206;0,6679110;0,9282572;0,4043180;0,3745020;1,738145;174,5582;3164,592
k00400000061;Hochliteratur;Hochliteratur;Schulze, Ingo;Neue Leben;0,3386420;0,8264056;0,6882023;0,9354956;0,4044723;0,3735204;1,707969;216,8571;2944,956
k00400000151;Hochliteratur;Hochliteratur;Plenzdorf, Ulrich;Die neuen Leiden des jungen W.;0,2481778;0,7935364;0,5894386;0,9272502;0,3383050;0,4750239;1,544115;147,3438;2313,747
k00400000041;Hochliteratur;Hochliteratur;Ruge, Eugen;In Zeiten des abnehmenden Lichts;0,3253026;0,8304837;0,6891132;0,9324053;0,4303646;0,3727173;1,733782;155,1065;2839,473
k00400000073;Hochliteratur;Hochliteratur;Poschmann, Marion;Schwarzweißroman;0,3743111;0,8428216;0,6879343;0,9342818;0,4564610;0,3004429;1,768988;196,7592;3407,652
k00400000050;Hochliteratur;Hochliteratur;Schädlich, Hans Joachim;Kokoschkins Reise;0,3190667;0,8272161;0,6432631;0,9336668;0,4581136;0,4302154;1,771464;168,9463;2615,694
k00400000138;Hochliteratur;Hochliteratur;Mora, Terézia;Der einzige Mann auf dem Kontinent;0,3265231;0,8234764;0,6977115;0,9397647;0,3820718;0,4181881;1,628665;192,2168;2834,152
k00400000083;Hochliteratur;Hochliteratur;Gruber, Sabine;Über Nacht;0,3251000;0,8226823;0,6500912;0,9327484;0,4183942;0,3759543;1,720710;210,8065;2936,992
k00400000065;Hochliteratur;Hochliteratur;Leutenegger, Gertrud;Panischer Frühling;0,3622400;0,8313437;0,6654652;0,9384987;0,4306065;0,2720047;1,778805;255,1465;3180,588
k00400000039;Hochliteratur;Hochliteratur;Flašar, Milena Michiko;Ich nannte ihn Krawatte;0,3201333;0,8179398;0,5872905;0,9308496;0,3666795;0,3902764;1,589548;183,7284;2767,150
k00400000027;Hochliteratur;Hochliteratur;Thome, Stephan;Fliehkräfte;0,3468706;0,8219271;0,7016068;0,9406849;0,4129816;0,4381209;1,662051;276,2486;2928,627
k00400000092;Hochliteratur;Hochliteratur;Wagner, David;Vier Äpfel;0,3308333;0,8277776;0,6556169;0,9349257;0,3794145;0,3388134;1,757065;186,4624;3157,844
k00400000106;Hochliteratur;Hochliteratur;Peters, Christoph;Wir in Kahlenbeck;0,3453867;0,8275048;0,7072044;0,9415411;0,4044210;0,3983692;1,649157;248,3793;3039,743
k00400000060;Hochliteratur;Hochliteratur;Streeruwitz, Marlene;Nachkommen.;0,2630872;0,8110706;0,6061867;0,9143589;0,3630686;0,4374397;1,633853;111,0385;2453,722
k00400000119;Hochliteratur;Hochliteratur;Müller, Herta;Atemschaukel;0,3064148;0,8277643;0,6850894;0,9264504;0,4075987;0,3321682;1,609985;137,8944;2652,285
k00400000051;Hochliteratur;Hochliteratur;Seiler, Lutz;Kruso;0,3449255;0,8274535;0,7183827;0,9378771;0,4420439;0,3599818;1,711208;230,0141;2929,918
k00400000008;Hochliteratur;Hochliteratur;Gstrein, Norbert;Die Winter im Süden;0,2864400;0,8166412;0,6890172;0,9210954;0,3487966;0,4024288;1,650630;157,6377;3109,776
k00400000139;Hochliteratur;Hochliteratur;Schalansky, Judith;Der Hals der Giraffe;0,3870667;0,8395972;0,6182605;0,9379499;0,4248459;0,3311647;1,798625;295,8145;3584,469
k00400000148;Hochliteratur;Hochliteratur;Kant, Hermann;Die Aula;0,3030000;0,8264836;0,6732628;0,9305307;0,3714593;0,4054603;1,643343;143,5720;2810,291
k00400000159;Hochliteratur;Hochliteratur;Apitz, Bruno;Nackt unter Wölfen;0,3188706;0,8227157;0,6696014;0,9326189;0,4436540;0,3152903;1,706024;188,4814;2709,711
